Software,million lines of code,,detail,,,,notes,source,link,source 2
Computer virus (worm),0.00,,virus,,,,Wikihow has instructions how to make a simple worm virus with 2 lines of code,Wikihow,http://www.wikihow.com/Make-an-Easy-Worm-Virus-With-Two-Lines-of-Code,
iOS app - simple game,0.01,,app,,,,"10,000  LOC. Imangi is a word game app, same people also made Temple Run",iPhoneDevSDK,http://iphonedevsdk.com/forum/iphone-sdk-development/3948-average-time-spent-creating-an-app-poll.html,
Unix v 1.0 (1971),0.01,,,,,,10000,,http://www.thegamersblog.com/10-facts-you-may-not-know-about-world-of-warcraft/,
Win32/Simile virus,0.01,,virus,,,,"a metamorphic (very complex) computer virus, released 2002 had 14000 LOC","Wikipedia, Security Response",http://en.wikipedia.org/wiki/Computer_virus,http://securityresponse.symantec.com/avcenter/reference/simile.pdf
iOS app - photo editing,0.04,,app,,,,"39,924 LOC. Camera Genius is a photo editing app. ",CodeGoo,http://blog.codegoo.com/post/2794720594/whats-involved-in-building-an-iphone-app,
Pacemaker,0.08,,the software in a heart pacemaker,,,,"80,000","Coverity infographic, MathWorks.com",http://insideevs.com/infographic-chevy-volt-has-10-million-lines-of-code-f-22-raptor-only-has-1-7-million/,http://www.mathworks.co.uk/company/newsletters/articles/university-of-pennsylvania-develops-electrophysiological-heart-model-for-real-time-closed-loop-testing-of-pacemakers.html
Photoshop v1 (1990),0.12,,,,,,,Slashdot,http://developers.slashdot.org/story/13/02/14/1323254/for-your-inspection-source-code-for-photoshop-10,
Camino,0.20,,browser,,,,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
Quake 3 engine,0.31,,computer game,,,,310000 LOC computer game.,Quora,http://www.quora.com/Computer-Programming/About-how-many-lines-of-code-is-a-typical-computer-game-such-as-Starcraft-or-Counter-Strike,
Space Shuttle,0.40,,,,,,primary flight software,Nasa,www.nasa.gov/mission_pages/shuttle/.../flyfeature_shuttlecomputers.html‎,
Ubuntu,0.98,,browser,,,,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
18000 pages of printed text,1.00,,,,,,"on typical 20-pound paper, would be a stack 6 feet tall",Embedded,http://www.embedded.com/electronics-blogs/break-points/4026827/A-Million-Lines-of-Code,
Crysis ,1.00,,game,,,,,Quora,http://www.quora.com/Computer-Programming/About-how-many-lines-of-code-is-a-typical-computer-game-such-as-Starcraft-or-Counter-Strike,
"War And Peace x 14, Ulysses x 25, The Catcher in The Rye x 63",1.00,,,,,,,Embedded,http://www.embedded.com/electronics-blogs/break-points/4026827/A-Million-Lines-of-Code,
F-22 Raptor,1.70,,,,,,,Coverity inforgraphic,http://insideevs.com/infographic-chevy-volt-has-10-million-lines-of-code-f-22-raptor-only-has-1-7-million/,
Hubble Space Telescope,2.00,,,,,,,NYTImes,http://www.nytimes.com/1989/02/19/us/excitement-and-dismay-at-space-telescope-center.html?src=pm,
Unreal 3 engine,2.00,,game,,,,,Quora,http://www.quora.com/Computer-Programming/About-how-many-lines-of-code-is-a-typical-computer-game-such-as-Starcraft-or-Counter-Strike,
Windows 3.1,2.50,,,,,,,CNET,http://news.cnet.com/The-root-of-the-problem-Bad-software/2008-1082_3-276316.html,
"Large Hadron Collider (ROOT software, pre-bug fixing)",3.50,,,,,,,The Register blog,http://www.theregister.co.uk/2011/09/22/cern_coverity/,
Drones,3.50,,,,,,,Wired,http://www.wired.com/dangerroom/2012/11/navy-killer-drone/,
Facebook (Android codebase),4.00,,,,,,,Quora,http://www.quora.com/Facebook-Engineering/How-many-lines-of-code-is-Facebook,
Photoshop CS 6 (2012),4.50,,,,,,,PC World,http://www.pcworld.com/article/2028315/computer-history-museum-shares-original-photoshop-code.html,http://scottkelby.com/2012/photoshop-cs6-from-the-inside/
Windows NT 3.1,4.50,,operating system,4.00,5.00,,,Knowing .net,http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/,
HealthCare.gov,5.00,,website,,,,"""Obamacare online enrollment system might actually need 5 million lines of code to be rewritten just to repair the problems encountered on the site""",Examiner,http://www.examiner.com/article/code-blue-obamacare-online-system-needs-massive-re-write-to-work?cid=rss,
Mars Curiosity Probe,5.00,,,,,,,Slashdot,http://slashdot.org/topic/bi/mars-rover-curiosity-less-brainpower-than-apples-iphone-5/,
Mars Rover Curiosity,5.00,,,,,,,Slashdot,http://slashdot.org/topic/bi/mars-rover-curiosity-less-brainpower-than-apples-iphone-5/,
Linux kernel 2.6.0,5.20,,operating system,,,,only wiki source,Wikipedia,http://en.wikipedia.org/wiki/Source_lines_of_code,
Google Chrome (estimate 2) (2011),5.40,,browser,,,,,,http://www.quora.com/Google-Chrome/How-many-lines-of-code-is-Google-Chrome,
World of WarCraft (Server),5.50,,game,,,,,GamesspotUK,http://uk.gamespot.com/news/blizzard-outlines-massive-effort-behind-world-of-warcraft-6228615,
Boeing 787,6.50,,,,,,Avionics and online support systems,Coverity inforgraphic,http://insideevs.com/infographic-chevy-volt-has-10-million-lines-of-code-f-22-raptor-only-has-1-7-million/,
Google Chrome,6.70,,browser,,,,6677875,Ohloh,http://www.ohloh.net/p/chrome/analyses/latest/languages_summary,
Windows NT 3.5 (1994),7.50,,operating system,7.00,8.00,,,Knowing .net,http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/,
Windows NT 3.51 (1995),9.50,,operating system,9.00,10.00,,,Knowing .net,http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/,
Firefox,9.70,,browser,,,,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
Chevy Volt (electri car),10.00,,,,,,,"Coverity inforgraphic, SmartPlanet",http://insideevs.com/infographic-chevy-volt-has-10-million-lines-of-code-f-22-raptor-only-has-1-7-million/,http://www.smartplanet.com/blog/smart-takes/gms-volt-10-million-lines-of-code/12006
Intuit Quickbooks,10.00,,,,,,,Slashdot,http://developers.slashdot.org/story/12/07/31/0052230/how-intuit-manages-10-million-lines-of-code,
Linux kernel 2.6.29,11.00,,operating system,,,,only wiki source,Wikipedia,http://en.wikipedia.org/wiki/Source_lines_of_code,
